==================== 2026-05-28T14:13:59.038624Z | 64501e68-6d92-4440-8eba-27720e2acb0e ====================
14:51:12.401558 [info ]: Loading ~/.dbt/profiles.yml
14:51:12.929791 [info ]: Loading ~/.dbt/profiles.yml
14:51:13.424811 [info ]: Loading ~/.dbt/profiles.yml
14:51:13.928509 [info ]: Loading ~/.dbt/profiles.yml
14:51:14.403327 [info ]: Loading ~/.dbt/profiles.yml
14:51:14.950751 [info ]: Loading ~/.dbt/profiles.yml
14:51:15.411627 [info ]: Loading ~/.dbt/profiles.yml
14:51:15.908747 [info ]: Loading ~/.dbt/profiles.yml
14:51:16.324625 [info ]: Loading ~/.dbt/profiles.yml
14:51:16.853086 [info ]: Loading ~/.dbt/profiles.yml
14:51:17.362417 [info ]: Loading ~/.dbt/profiles.yml
14:51:17.801756 [info ]: Loading ~/.dbt/profiles.yml
14:54:43.303871 [info ]: Loading ~/.dbt/profiles.yml
14:54:43.851795 [info ]: Loading ~/.dbt/profiles.yml
14:54:44.336457 [info ]: Loading ~/.dbt/profiles.yml
14:54:44.840299 [info ]: Loading ~/.dbt/profiles.yml
14:54:45.182494 [info ]: Loading ~/.dbt/profiles.yml
14:54:45.677096 [info ]: Loading ~/.dbt/profiles.yml
14:54:46.171440 [info ]: Loading ~/.dbt/profiles.yml
14:54:48.084779 [info ]: Loading ~/.dbt/profiles.yml
14:54:48.599605 [info ]: Loading ~/.dbt/profiles.yml
14:54:49.093524 [info ]: Loading ~/.dbt/profiles.yml
14:54:49.780888 [info ]: Loading ~/.dbt/profiles.yml
14:54:50.281940 [info ]: Loading ~/.dbt/profiles.yml
14:54:50.779996 [info ]: Loading ~/.dbt/profiles.yml
14:54:51.298495 [info ]: Loading ~/.dbt/profiles.yml
14:54:51.809051 [info ]: Loading ~/.dbt/profiles.yml
14:54:52.307300 [info ]: Loading ~/.dbt/profiles.yml
14:54:52.804560 [info ]: Loading ~/.dbt/profiles.yml
14:54:53.310353 [info ]: Loading ~/.dbt/profiles.yml
14:54:53.827472 [info ]: Loading ~/.dbt/profiles.yml
14:54:54.328890 [info ]: Loading ~/.dbt/profiles.yml
14:54:54.806557 [info ]: Loading ~/.dbt/profiles.yml
14:54:55.335779 [info ]: Loading ~/.dbt/profiles.yml
14:54:55.833115 [info ]: Loading ~/.dbt/profiles.yml
14:54:56.342658 [info ]: Loading ~/.dbt/profiles.yml
14:54:57.022986 [info ]: Loading ~/.dbt/profiles.yml
14:54:57.836108 [info ]: Loading ~/.dbt/profiles.yml
14:54:58.349624 [info ]: Loading ~/.dbt/profiles.yml
14:54:58.873343 [info ]: Loading ~/.dbt/profiles.yml
14:54:59.379926 [info ]: Loading ~/.dbt/profiles.yml
14:54:59.880088 [info ]: Loading ~/.dbt/profiles.yml
14:55:00.355948 [info ]: Loading ~/.dbt/profiles.yml
14:55:00.868315 [info ]: Loading ~/.dbt/profiles.yml
14:55:01.363612 [info ]: Loading ~/.dbt/profiles.yml
14:55:01.885137 [info ]: Loading ~/.dbt/profiles.yml
14:55:02.381781 [info ]: Loading ~/.dbt/profiles.yml
14:55:02.868453 [info ]: Loading ~/.dbt/profiles.yml
14:55:03.369481 [info ]: Loading ~/.dbt/profiles.yml
14:55:03.861493 [info ]: Loading ~/.dbt/profiles.yml
14:55:04.368149 [info ]: Loading ~/.dbt/profiles.yml
14:55:04.878669 [info ]: Loading ~/.dbt/profiles.yml
14:55:05.264964 [info ]: Loading ~/.dbt/profiles.yml
14:55:05.559153 [info ]: Loading ~/.dbt/profiles.yml
14:55:06.070881 [info ]: Loading ~/.dbt/profiles.yml
14:55:06.583576 [info ]: Loading ~/.dbt/profiles.yml
14:55:07.234006 [info ]: Loading ~/.dbt/profiles.yml
14:55:07.748309 [info ]: Loading ~/.dbt/profiles.yml
14:55:08.256601 [info ]: Loading ~/.dbt/profiles.yml
14:55:08.753618 [info ]: Loading ~/.dbt/profiles.yml
14:55:09.264707 [info ]: Loading ~/.dbt/profiles.yml
14:55:09.759307 [info ]: Loading ~/.dbt/profiles.yml
14:55:10.256530 [info ]: Loading ~/.dbt/profiles.yml
14:55:11.765217 [info ]: Loading ~/.dbt/profiles.yml
14:55:12.286372 [info ]: Loading ~/.dbt/profiles.yml
14:55:12.783721 [info ]: Loading ~/.dbt/profiles.yml
14:55:13.290598 [info ]: Loading ~/.dbt/profiles.yml
14:55:13.788684 [info ]: Loading ~/.dbt/profiles.yml
14:55:14.302295 [info ]: Loading ~/.dbt/profiles.yml
14:55:14.810892 [info ]: Loading ~/.dbt/profiles.yml
14:55:15.327400 [info ]: Loading ~/.dbt/profiles.yml
14:55:15.838149 [info ]: Loading ~/.dbt/profiles.yml
14:55:16.332200 [info ]: Loading ~/.dbt/profiles.yml
14:55:17.135283 [info ]: Loading ~/.dbt/profiles.yml
14:55:17.665178 [info ]: Loading ~/.dbt/profiles.yml
14:55:18.166191 [info ]: Loading ~/.dbt/profiles.yml
14:55:18.691954 [info ]: Loading ~/.dbt/profiles.yml
14:55:19.181563 [info ]: Loading ~/.dbt/profiles.yml
14:55:20.360267 [info ]: Loading ~/.dbt/profiles.yml
14:55:20.868172 [info ]: Loading ~/.dbt/profiles.yml
14:55:21.369165 [info ]: Loading ~/.dbt/profiles.yml
14:55:21.877562 [info ]: Loading ~/.dbt/profiles.yml
14:55:22.393613 [info ]: Loading ~/.dbt/profiles.yml
14:55:22.895652 [info ]: Loading ~/.dbt/profiles.yml
14:55:23.433316 [info ]: Loading ~/.dbt/profiles.yml
14:55:23.897679 [info ]: Loading ~/.dbt/profiles.yml
14:55:24.391384 [info ]: Loading ~/.dbt/profiles.yml
14:55:24.928202 [info ]: Loading ~/.dbt/profiles.yml
14:55:25.417534 [info ]: Loading ~/.dbt/profiles.yml
14:55:25.910160 [info ]: Loading ~/.dbt/profiles.yml
14:55:26.422637 [info ]: Loading ~/.dbt/profiles.yml
14:55:26.912313 [info ]: Loading ~/.dbt/profiles.yml
14:55:27.413008 [info ]: Loading ~/.dbt/profiles.yml
14:55:27.903324 [info ]: Loading ~/.dbt/profiles.yml
14:55:28.384280 [info ]: Loading ~/.dbt/profiles.yml
14:55:28.898269 [info ]: Loading ~/.dbt/profiles.yml
14:55:29.524538 [info ]: Loading ~/.dbt/profiles.yml
14:57:20.567794 [info ]: Loading ~/.dbt/profiles.yml
14:57:20.874580 [info ]: Loading ~/.dbt/profiles.yml
14:58:08.385415 [info ]: Loading ~/.dbt/profiles.yml
14:58:19.043095 [info ]: Loading ~/.dbt/profiles.yml
14:58:56.385579 [info ]: Loading ~/.dbt/profiles.yml
14:58:56.876808 [info ]: Loading ~/.dbt/profiles.yml
14:58:57.361909 [info ]: Loading ~/.dbt/profiles.yml
14:58:57.878690 [info ]: Loading ~/.dbt/profiles.yml
14:58:58.368917 [info ]: Loading ~/.dbt/profiles.yml
14:58:58.878782 [info ]: Loading ~/.dbt/profiles.yml
14:58:59.358941 [info ]: Loading ~/.dbt/profiles.yml
14:58:59.871217 [info ]: Loading ~/.dbt/profiles.yml
14:59:00.377900 [info ]: Loading ~/.dbt/profiles.yml
14:59:00.870699 [info ]: Loading ~/.dbt/profiles.yml
14:59:01.408085 [info ]: Loading ~/.dbt/profiles.yml
14:59:01.753608 [info ]: Loading ~/.dbt/profiles.yml
15:01:12.458011 [info ]: Loading ~/.dbt/profiles.yml
15:01:12.717124 [info ]: Loading ~/.dbt/profiles.yml
15:01:13.066964 [info ]: Loading ~/.dbt/profiles.yml
15:01:59.109997 [info ]: Loading ~/.dbt/profiles.yml
15:01:59.609757 [info ]: Loading ~/.dbt/profiles.yml
15:02:00.095233 [info ]: Loading ~/.dbt/profiles.yml
15:02:00.615570 [info ]: Loading ~/.dbt/profiles.yml
15:02:01.102800 [info ]: Loading ~/.dbt/profiles.yml
15:02:01.633631 [info ]: Loading ~/.dbt/profiles.yml
15:02:02.112460 [info ]: Loading ~/.dbt/profiles.yml
15:02:02.612391 [info ]: Loading ~/.dbt/profiles.yml
15:02:03.105697 [info ]: Loading ~/.dbt/profiles.yml
15:02:03.616397 [info ]: Loading ~/.dbt/profiles.yml
15:02:04.120047 [info ]: Loading ~/.dbt/profiles.yml
15:02:04.391229 [info ]: Loading ~/.dbt/profiles.yml
15:04:09.104011 [info ]: Loading ~/.dbt/profiles.yml
15:04:09.153224 [info ]: Started loading project
15:04:09.155470 [info ]: Loading ~/.dbt/profiles.yml
15:04:09.160211 [info ]: Finished loading project [  0.01s]
15:04:09.518499 [info ]: Loading ~/.dbt/profiles.yml
15:04:10.027168 [info ]: Loading ~/.dbt/profiles.yml
15:04:10.434217 [info ]: Loading ~/.dbt/profiles.yml
15:04:20.184452 [info ]: Loading ~/.dbt/profiles.yml
15:04:20.229932 [info ]: Started loading project
15:04:20.231336 [info ]: Loading ~/.dbt/profiles.yml
15:04:20.232585 [info ]: Finished loading project [  0.00s]
15:04:20.543994 [info ]: Loading ~/.dbt/profiles.yml
15:04:21.098092 [info ]: Loading ~/.dbt/profiles.yml
15:04:21.445870 [info ]: Loading ~/.dbt/profiles.yml
15:04:30.428319 [info ]: Loading ~/.dbt/profiles.yml
15:04:30.469778 [info ]: Started loading project
15:04:30.471561 [info ]: Loading ~/.dbt/profiles.yml
15:04:30.472619 [info ]: Finished loading project [  0.00s]
15:04:30.771129 [info ]: Loading ~/.dbt/profiles.yml
15:04:31.346506 [info ]: Loading ~/.dbt/profiles.yml
15:04:31.678400 [info ]: Loading ~/.dbt/profiles.yml
15:04:41.273863 [info ]: Started loading project
15:04:41.274307 [info ]: Finished loading project [  0.00s]
